"Instrument_Id","Product_Type","Processing_Level","Product_Subtype","Product_Subtype_Desc","Attr","Data_Type","Unit"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","RSM_HEAD_OUTSIDE_TIRS_UPWARD_LOOKING_FOV","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","WHEEL_OUTSIDE_TIRS_DOWNWARD_LOOKING_FOV","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","SUN_OUTSIDE_TIRS_FOV","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","ROVER_LOW_TILT","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","TIRS_GROUND_FOOTPRINT_NOT_IN_SHADOW","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","ROVER_HGA_OFF","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","SKYCAM_OFF","ASCII_Integer","State"
"WE","CAL","Calibrated","TIRS","Thermal and Infrared","ROVER_STILL","ASCII_Integer","State"
"WE","CAL","Calibrated","WS","Wind","SCLK","ASCII_Real","s"
"WE","CAL","Calibrated","WS","Wind","LMST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","WS","Wind","LTST","ASCII_String","HH:mm:ss"
"WE","CAL","Calibrated","WS","Wind","BOOM1_HORIZONTAL_WIND_SPEED","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM1_HORIZONTAL_WIND_SPEED_UNCERTAINTY","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM1_VERTICAL_WIND_SPEED","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM1_VERTICAL_WIND_SPEED_UNCERTAINTY","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM1_WIND_DIRECTION","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM1_WIND_DIRECTION_UNCERTAINTY","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM2_HORIZONTAL_WIND_SPEED","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM2_HORIZONTAL_WIND_SPEED_UNCERTAINTY","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM2_VERTICAL_WIND_SPEED","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM2_VERTICAL_WIND_SPEED_UNCERTAINTY","ASCII_Real","m/s"
"WE","CAL","Calibrated","WS","Wind","BOOM2_WIND_DIRECTION","ASCII_Real","deg"
"WE","CAL","Calibrated","WS","Wind","BOOM2_WIND_DIRECTION_UNCERTAINTY","ASCII_Real","deg"
